tran_dt,sender,receiver,amount,sender_prev_bal
2023-05-31,6397144101,8419886520,76.72,3002.44
2023-11-12,4790012545,6075552482,110.31,6138.31
2023-01-17,6154337306,6678220690,90.42,552.1
2023-10-08,8868303343,2852845691,455.82,5887.86
2023-11-05,4066297642,1244439007,390.2,8944.14
2023-01-16,6154337306,2821255081,122.32,5066.11
2023-08-09,1068377549,2809465977,22.63,7504.89
2023-08-21,2540044701,6651750347,318.16,5530.69
2023-10-19,2341230241,9658813585,279.15,7892.46
2023-12-23,6202838211,5888445457,92.07,3408.02
2023-07-18,8875346680,8503214085,479.7,5868.19
2023-03-30,8542881577,1577884505,305.23,6727.59
2023-06-01,8666108063,8774854822,1723.56,8752.63
2023-01-23,3203290648,6766931204,410.13,6342.7
2023-02-06,1276045948,7421283075,440.68,8822.15
2023-04-03,6910684122,8774854822,94.55,7569.01
2023-03-04,6536389274,8077807389,221.51,5554.89
2023-12-27,2824317672,4761080385,372.84,8451.06
2023-09-29,3203290648,8783646813,327.23,4311.12
2023-06-07,3203290648,9593790892,1994.06,5344.48
2023-07-21,4189117361,7429285705,113.13,2470.26
2023-06-03,1144486898,8656318435,258.34,519.47
2023-01-25,1165106288,3368746576,239.76,4265.37
2023-11-14,4405488566,9496078669,189.33,5989.28
2023-10-13,7082906224,8867354286,438.34,2152.7
2023-01-23,3819736364,7593423234,220.96,9548.64
2023-07-19,1113834089,3191351720,85.13,832.77
2023-12-23,4424404902,2447658099,459.39,4369.82
2023-08-03,4790012545,3705395940,69.0,7458.79
2023-08-14,5959515865,7948458933,377.6,4470.47
2023-03-12,5620527566,9521712961,503.11,2845.27
2023-06-08,3546339159,3661752487,436.21,3556.98
2023-01-17,9136098514,7794635246,240.24,6210.48
2023-03-27,8254663660,4859816657,192.41,5531.71
2023-12-21,1761527270,3493168708,378.71,5769.76
2023-05-04,8032535589,8829725777,272.29,2664.52
2023-02-02,2635360492,3142057598,398.13,4768.39
2023-11-13,1112415317,7448192925,275.02,9535.05
2023-02-16,2041054584,9025540461,329.67,2200.6
2023-03-27,5377595854,2225794435,296.77,5652.26
2023-04-20,1839577361,4701120845,485.8,3908.22
2023-09-21,7809784704,7302775932,310.68,9482.77
2023-06-25,8900805824,2969599836,282.77,5246.49
2023-02-19,9010637497,2660485764,113.14,6434.26
2023-08-17,1523706849,2962235114,490.29,8902.69
2023-10-05,6397144101,4940796209,49.4,4338.4
2023-06-10,7601334917,4707626355,409.05,1681.52
2023-09-08,8842478751,8783646813,490.9,5511.21
2023-09-08,8875346680,9204416723,476.41,8457.33
2023-02-10,9946408543,2553911119,368.16,2384.75
2023-02-20,1676626956,7302775932,362.53,6360.86
2023-12-29,4661562891,4701120845,344.37,7069.48
2023-08-26,2866005687,1567470170,462.42,2709.15
2023-06-08,9236064163,4732508610,507.1,3571.3
2023-11-09,1113834089,1096817728,88.44,1264.81
2023-02-01,7273235391,4857209490,59.82,5819.11
2023-07-31,5809281990,3661752487,131.56,2257.61
2023-08-31,3143462909,1555109954,398.16,3973.68
2023-06-20,5029258738,6651750347,574.34,5303.59
2023-08-01,8436622319,5581327600,101.7,8939.86
2023-11-02,9010637497,4564405102,123.87,1469.67
2023-03-04,5137292853,4515190519,266.3,3548.08
2023-10-23,6462330795,6748028112,191.88,9091.57
2023-03-24,5018014536,8646995775,5.83,9099.75
2023-06-18,8590614086,9144862025,469.76,3756.77
2023-06-30,7153578596,1400188830,376.96,7944.86
2023-03-01,2252597577,9352048887,479.54,8343.92
2023-09-10,1324707311,6827293597,429.78,1705.34
2023-05-03,7666501843,9973896632,284.81,5318.05
2023-07-11,2054352743,1569441813,346.51,4094.16
2023-01-29,8413728778,7948458933,184.17,8452.03
2023-12-01,5444740513,1955800935,343.1,1868.96
2023-02-04,3032066846,4005630831,208.63,4910.2
2023-05-20,9104663241,9815659443,474.82,2391.49
2023-11-08,6374434257,3906766178,255.7,9036.87
2023-06-01,7019049608,1717035816,278.77,6312.01
2023-04-30,1165106288,4564405102,187.1,4608.75
2023-08-03,3224534149,6596816037,286.72,5622.06
2023-06-15,9382268880,2951988397,267.33,8707.1
2023-01-03,4466146256,9152851286,7.79,2682.07
2023-04-01,6324806362,8061182242,482.43,6224.52
2023-06-21,5018014536,3466012826,85.16,6880.26
2023-01-20,2252597577,6596816037,504.95,4232.02
2023-12-07,2781002956,3966504289,999.85,4586.32
2023-11-12,8646111342,1157144227,268.55,2152.3
2023-10-24,5853640549,7032354535,302.53,6277.12
2023-12-04,6372912695,9658813585,164.91,9604.47
2023-09-10,8413728778,3465910025,249.47,7382.68
2023-12-24,3893589750,8155755793,43.9,9153.48
2023-03-02,4237717123,6350939203,174.91,6951.98
2023-06-19,2931289572,7965805248,407.33,1605.46
2023-01-22,1761232323,2976092807,55.89,9256.62
2023-04-01,8871328918,1532644469,101.21,4384.68
2023-09-18,8948220105,1004699940,217.79,2313.91
2023-01-24,5809281990,8182542226,121.8,2825.04
2023-06-28,1761527270,5621255474,380.97,5436.03
2023-09-04,6560944890,6024681225,336.97,5593.79
2023-06-19,9124683758,2143770681,142.55,8188.53
2023-09-17,2145863469,1298195121,200.44,5318.96
2023-02-02,8871328918,5948031520,99.01,2063.68
2023-04-01,1158621244,5948031520,391.8,2874.99
2023-09-23,6202838211,7458688319,135.87,3136.43
2023-10-08,6250485006,7015509629,511.45,2313.45
2023-07-15,7903045302,3630567726,328.02,9544.5
2023-03-07,6331808265,1217352507,539.26,5499.07
2023-10-01,6462330795,3524424249,142.61,8374.04
2023-08-24,2911815832,7032354535,362.79,2870.38
2023-06-18,5809281990,8293282371,121.71,6529.68
2023-09-27,5535125923,1535483808,219.94,5957.92
2023-01-11,4206312755,8541934496,376.64,8575.55
2023-04-18,5096271531,5993018031,321.27,8351.85
2023-04-09,6374069564,2852845691,529.2,5269.34
2023-07-17,3964868878,4588043007,380.12,4054.02
2023-06-29,7202839593,3156585422,323.41,2617.84
2023-04-19,1144486898,4838050270,246.39,7661.19
2023-02-20,9382268880,7184510101,1343.52,1434.85
2023-10-04,3522747123,3024221138,173.66,5149.68
2023-04-17,9198899900,9973896632,113.68,3767.55
2023-06-20,3556530143,6441783020,204.38,5887.44
2023-08-14,7685012617,8384981854,947.36,7325.82
2023-06-30,5079871673,3743241358,422.09,4902.57
2023-03-12,7178578538,7678856749,262.89,9466.82
2023-09-20,5079871673,5353608240,416.17,4043.16
2023-04-14,5071338731,7992389713,254.02,6756.2
2023-11-29,2183582499,8526557327,37.47,9214.17
2023-01-16,7216578445,8448700122,249.1,6315.9
2023-06-21,3826325422,5728874239,-4.8,67.44
2023-04-13,5598526674,3728925494,174.24,6308.09
2023-07-07,9163117711,5948031520,359.88,5991.02
2023-12-19,7788087086,5563407980,436.32,1181.03
2023-03-20,5294433105,5184392401,344.23,7095.66
2023-03-29,8900805824,1567470170,262.26,6183.77
2023-01-14,4358294074,6827293597,190.99,9467.12
2023-02-22,3957950476,3086147773,184.55,9281.76
2023-02-23,8666108063,2613078821,292.53,9907.12
2023-07-12,9971126046,4930935721,298.21,3722.12
2023-11-25,8548635822,9594995598,210.67,4112.09
2023-09-05,2682633258,1810792375,370.54,1344.84
2023-06-25,5809281990,8829725777,119.15,4519.73
2023-08-30,8056183846,6995402354,129.23,5359.2
2023-09-03,7082906224,1498521782,458.96,1103.36
2023-10-08,5784630903,6531711442,119.63,4808.41
2023-06-10,5853640549,6337639775,317.52,7765.91
2023-03-12,6954377166,2672396355,53.69,5512.1
2023-07-31,1409251445,2801430795,70.77,1351.99
2023-10-31,2449376974,7761522903,472.33,4303.66
2023-02-23,1568070113,1244439007,125.63,4298.8
2023-02-10,1113834089,1569441813,112.23,9053.98
2023-12-30,6827753864,1006445472,115.53,1031.52
2023-10-30,8875346680,6355012597,471.02,1467.64
2023-02-27,2507098120,8230403684,299.79,4769.33
2023-04-11,9117125188,1603595012,279.92,9883.23
2023-10-13,1176036462,5563407980,114.04,6919.43
2023-03-30,5093619917,8419886520,197.35,403.3
2023-05-31,7788087086,4449205315,466.65,904.6
2023-10-29,2904504206,4152390034,437.2,4895.3
2023-06-17,1870757167,8815264532,409.33,8355.01
2023-07-02,7511872019,1004699940,14.33,966.54
2023-05-28,4689284713,5221125082,358.49,1802.89
2023-12-19,8032535589,2349736332,395.71,6546.74
2023-06-06,1529943053,8887473116,83.22,9600.27
2023-10-01,2911815832,8230403684,339.5,5368.81
2023-10-11,6462330795,1719479711,112.36,5685.52
2023-05-05,7408366345,4564405102,360.5,8353.31
2023-08-04,2301805351,6580572805,118.95,1867.12
2023-11-04,8893138539,4869227480,495.26,2258.51
2023-04-14,9677841168,5584615239,262.32,7728.17
2023-05-02,1844074790,1815541762,201.13,2091.84
2023-06-03,4790012545,1823056088,81.58,5150.04
2023-11-15,3032066846,5920569106,206.56,8203.98
2023-05-25,3655549394,5563407980,87.69,5833.1
2023-06-21,1651226605,2174265693,1958.52,2851.76
2023-09-05,8589841039,4459764630,58.61,4851.61
2023-07-18,1158621244,2976092807,454.33,1486.48
2023-08-20,8875346680,6085975670,479.67,6488.48
2023-11-12,2931289572,3605787210,505.51,9398.49
2023-02-19,7019049608,5888445457,174.53,8230.04
2023-11-24,5034961863,5271803575,-29.82,483.63
2023-06-26,1567185174,6664236500,120.67,3893.25
2023-10-03,6154337306,2361417223,124.74,8208.19
2023-12-25,2680751486,8026036678,371.93,2639.84
2023-01-10,1188502677,9658813585,938.06,7658.5
2023-08-08,9826131497,2749268461,210.11,4618.46
2023-09-07,4905245731,4934364269,299.73,5918.62
2023-11-07,2833774822,2801430795,154.23,7129.76
2023-10-08,2828220653,3970439189,51.15,6428.04
2023-02-15,5200334429,9267308825,-20.99,7981.78
2023-07-26,3143462909,8143385123,409.14,5637.67
2023-09-03,2290620711,7926781770,304.63,7226.18
2023-11-30,6462330795,2902853837,233.26,2148.17
2023-11-18,4790012545,8060326255,230.41,9133.95
2023-01-15,3143462909,2672396355,369.83,6380.87
2023-12-05,1112415317,9988684171,267.31,2770.95
2023-05-29,3819736364,8060326255,179.17,2636.52
2023-01-27,5886439919,7032714017,449.85,4005.89
2023-02-05,2391928322,1224905165,111.94,5451.59
2023-07-27,3621598798,2340864445,69.5,5402.4
2023-03-22,9430296170,9973896632,-12.61,5425.48
2023-03-05,2252597577,1177297310,510.34,4870.41
2023-06-04,8382413949,1244439007,464.06,6673.27
2023-06-05,5093619917,4701120845,197.99,7234.17
2023-01-03,8032535589,6203892117,311.84,2668.9
2023-01-13,3556530143,5113129178,1136.26,3330.66
2023-10-10,5096271531,7993056081,293.07,8194.96
2023-08-22,7223312208,3970439189,150.83,6547.42
2023-09-02,7403172893,8182542226,93.29,5819.78
2023-06-24,1008861066,9462157314,161.52,8011.57
2023-12-20,3893589750,9988684171,32.14,6603.86
2023-09-06,1761527270,2902853837,366.85,830.29
2023-09-15,2555233206,1244439007,242.16,7824.6
2023-07-17,3546339159,4528204061,473.31,4160.8
2023-03-31,4345401597,5290749376,305.43,693.33
2023-12-24,4464498407,7213039174,159.7,4186.68
2023-09-05,2145863469,2660485764,205.06,9000.95
2023-06-30,1157973925,1004165119,390.03,2734.7
2023-10-17,2381133638,3074629897,298.29,3527.99
2023-07-27,5957441946,1325958156,208.75,9658.04
2023-11-26,1293662596,9773838066,167.76,1073.94
2023-12-21,9794577317,7832528172,444.95,4019.23
2023-10-11,1113834089,1810792375,107.69,4753.61
2023-08-14,3224534149,9484892308,332.25,7544.23
2023-05-29,2301805351,8293282371,194.16,1610.79
2023-03-08,4066297642,3783204132,414.69,6054.72
2023-06-04,4464498407,2672396355,135.13,6095.95
2023-07-27,1116183031,6075552482,193.45,4511.95
2023-12-23,1079948278,5201538562,138.94,6506.85
2023-06-16,7539797855,3630567726,302.52,4212.65
2023-02-11,4189117361,1271699948,124.55,4764.06
2023-12-06,8900805824,1687399428,261.18,3409.5
2023-10-04,5784630903,9574943985,158.25,1258.12
2023-09-22,5294433105,8605482872,355.5,852.03
2023-12-23,9430296170,1532644469,34.78,7490.32
2023-02-02,9898976418,7032354535,33.3,605.76
2023-10-13,8664985593,3630567726,233.38,9617.8
2023-10-03,8539637709,3620898151,169.27,6737.21
2023-10-26,7539797855,3322940175,351.82,4287.68
2023-11-13,9177192780,3946294990,424.36,5496.22
2023-07-24,2381133638,6026120270,236.41,9839.0
2023-11-28,8240257727,7458688319,114.84,1142.85
2023-09-23,1825769558,6848650970,65.72,9726.3
2023-06-17,2296889509,9066022021,77.4,5441.16
2023-04-01,1651226605,4180456963,385.62,7945.42
2023-09-10,3556530143,5392037730,205.8,2193.79
2023-04-27,1761232323,6678220690,-6.44,1319.17
2023-04-08,2301805351,6337639775,231.5,9466.86
2023-05-01,8666108063,8419886520,317.45,4604.31
2023-10-29,4631232391,7667159439,180.38,9707.55
2023-08-10,7836684495,1014077919,65.87,2934.3
2023-03-18,5079871673,8867354286,415.98,8883.08
2023-03-06,3819736364,4103747123,172.02,5896.84
2023-07-09,5079871673,1815541762,416.18,8260.29
2023-03-02,1676626956,4528204061,2253.85,3315.61
2023-04-12,3699572113,6350939203,179.22,2049.3
2023-03-17,5813070931,5993018031,478.9,1230.3
2023-03-25,3532316323,5076064581,226.48,2826.09
2023-03-18,9010637497,4930935721,135.91,200.11
2023-04-16,7076598156,3338715730,389.48,8111.43
2023-03-13,8842478751,6407350656,495.2,4631.75
2023-03-11,6372912695,4078271359,305.32,5924.11
2023-04-20,6265640291,9802680641,276.64,957.57
2023-10-15,4930818616,3020522095,1025.91,8369.64
2023-10-30,6462330795,1921855975,165.23,3523.66
2023-11-23,6372912695,9465099316,152.88,8326.32
2023-04-07,7202839593,7272371991,409.78,7180.18
2023-10-29,1116183031,4944115075,169.79,1057.94
2023-02-19,4345401597,6580572805,331.89,4160.52
2023-10-17,1676626956,4662104184,489.65,1688.79
2023-02-23,3703962220,3783204132,86.87,4439.7
2023-09-18,7076598156,1603595012,399.72,4151.98
2023-08-07,3152314300,4662104184,43.39,6087.56
2023-01-18,3957950476,2408035912,129.63,2166.9
2023-08-10,2527655254,7761332422,-3.05,3132.55
2023-06-24,9177192780,4339515896,458.37,4070.27
2023-11-19,1606823814,6651750347,308.92,8908.79
2023-12-20,3893589750,5506418492,81.06,814.36
2023-09-08,7788087086,4832021542,455.19,9669.04
2023-12-14,6827753864,8143385123,113.76,1173.0
2023-07-29,9898976418,9197411796,53.27,2948.26
2023-05-14,1161635857,8109475772,384.48,4850.09
2023-10-27,5784630903,1006445472,152.21,5432.95
2023-08-01,9236064163,7550152651,386.14,1641.94
2023-04-02,6372912695,7761522903,269.2,7529.9
2023-09-02,6910684122,6078992419,48.6,7278.25
2023-07-20,2911815832,8672999020,361.61,7859.17
2023-03-22,6632254372,7020104693,167.26,805.64
2023-03-18,1844074790,5563407980,203.91,9541.36
2023-06-27,8670770043,2923068121,269.13,2686.53
2023-08-05,4689284713,9068833369,2258.74,2483.38
2023-11-20,7601334917,4209184744,322.84,3396.48
2023-05-17,8948220105,9496078669,223.1,9029.17
2023-07-05,6954377166,7527743202,118.47,2337.28
2023-01-17,1798769275,8486813889,388.8,1638.72
2023-03-19,2837227128,8448700122,354.25,7145.73
2023-01-07,3964868878,7550152651,317.11,6975.13
2023-08-28,3673667462,4180456963,353.34,2240.31
2023-11-01,8589841039,3630567726,92.58,5392.3
2023-04-14,9946408543,4205474554,403.67,9339.26
2023-04-28,7063064307,2408035912,10.4,2064.19
2023-08-12,8413728778,8509306440,191.81,7891.0
2023-03-05,7575389424,4937612276,316.49,7632.16
2023-05-13,4661562891,1872880830,135.92,4073.6
2023-01-21,1870757167,7926781770,2355.57,8580.89
2023-02-07,7666501843,7707731783,1300.15,7691.51
2023-11-24,7082906224,4564405102,428.62,3265.25
2023-04-18,3673667462,2593329266,339.39,9357.44
2023-08-25,2097749932,2604483539,952.17,2290.63
2023-11-29,8837828277,3756012342,317.49,6002.4
2023-07-25,8024648080,8212787135,293.13,8865.28
2023-04-16,7082906224,5920569106,459.82,6303.13
2023-12-28,6628104619,5184392401,153.13,8692.68
2023-12-20,3747450723,6527612750,155.61,7172.04
2023-07-26,7685012617,6026120270,126.36,6748.95
2023-08-06,6910684122,4582797762,107.42,7331.6
2023-08-29,4521904419,3483958943,353.13,7543.61
2023-09-03,9677841168,9749225643,254.19,2040.44
2023-08-06,2301805351,5782738976,243.02,3357.37
2023-10-25,1770205776,5254430736,383.07,8253.53
2023-07-22,4661562891,8419886520,97.0,4581.32
2023-06-09,8471869360,8061182242,121.26,2959.72
2023-12-21,2851098229,4930211464,568.26,5310.35
2023-01-20,6631218396,2902853837,144.08,3119.78
2023-05-14,1761527270,3705395940,365.92,688.45
2023-07-28,9342344505,2660485764,369.43,6667.17
2023-11-19,8471869360,4761080385,164.15,1409.25
2023-06-12,5853640549,4582797762,267.51,8473.44
2023-03-24,1844074790,5271803575,156.84,6255.12
2023-01-11,3300797449,9639125037,99.99,3068.52
2023-11-11,8868303343,5505487777,502.11,3803.4
2023-05-14,1798769275,9197411796,417.99,2862.89
2023-09-14,1293662596,2385239957,111.45,3528.2
2023-12-15,5222101744,4021888776,346.08,7576.2
2023-12-31,5853640549,9677761071,310.71,1249.21
2023-01-09,7511872019,1096817728,47.08,6815.31
2023-03-25,9195582017,8299916220,1645.61,3675.23
2023-01-18,1179368344,4264117461,431.22,1607.68
2023-01-01,9382268880,6024681225,247.21,9477.88
2023-11-20,8493535674,4686845302,332.79,6435.28
2023-03-17,1165106288,4264117461,212.95,4670.09
2023-07-24,2617464071,1355028924,160.66,1134.58
2023-04-02,1761527270,9465099316,384.04,1558.64
2023-03-11,7320521806,4629873614,263.47,4943.71
2023-01-08,3032066846,2923068121,202.18,7482.19
2023-12-31,2833774822,4940796209,191.84,3936.37
2023-03-07,6374069564,1629458403,557.43,947.02
2023-04-19,2296889509,4665633400,111.31,5765.58
2023-02-22,5079871673,2406636678,428.84,9388.18
2023-12-26,1798769275,5621255474,464.46,5792.3
2023-07-17,3224534149,8231056496,271.19,5002.16
2023-02-09,4189117361,2142635409,123.28,1571.22
2023-12-10,2282297408,9465099316,175.0,8755.66
2023-09-02,8032535589,2529705213,380.95,5054.66
2023-11-05,9352634039,4686845302,172.12,1734.02
2023-02-10,2824317672,4036073044,300.54,7122.4
2023-10-21,2341230241,8700526098,406.83,8116.95
2023-08-16,1568070113,9152851286,146.12,525.43
2023-08-17,8666108063,5290749376,406.57,7150.51
2023-05-07,7788087086,6052123838,420.92,3076.73
2023-03-23,7063064307,8423597928,10.0,9226.76
2023-07-18,4584146126,2823946484,463.81,4250.64
2023-08-19,3163161786,6021827241,177.53,1611.73
2023-12-11,5813070931,7032354535,416.67,3823.76
2023-08-16,7320521806,8143385123,247.19,2221.19
2023-08-30,8542881577,1913317016,178.45,8872.7
2023-11-16,8664985593,6870119413,170.86,916.05
2023-12-13,1144486898,6350939203,240.54,2251.29
2023-04-30,6398314219,8138499210,883.17,5083.19
2023-02-06,1112415317,7926781770,261.47,9856.23
2023-03-02,1839577361,4610887786,487.89,634.25
2023-07-04,7153578596,6026120270,356.68,5446.79
2023-06-16,8646111342,6870119413,1145.73,5978.11
2023-12-12,6374434257,9749225643,126.06,5510.14
2023-12-02,8094293910,1298195121,118.05,8845.31
2023-12-15,7809784704,1555841014,242.87,4207.59
2023-02-07,3300797449,7794635246,99.35,6418.45
2023-07-29,8240257727,5704053928,116.13,8656.36
2023-11-14,7539797855,9973896632,298.41,7168.44
2023-10-08,1134062001,2923068121,302.64,5925.17
2023-07-20,8056183846,6024681225,95.03,378.85
2023-09-12,2282297408,6766931204,102.64,7104.63
2023-02-25,1825769558,8815264532,57.79,6367.04
2023-10-31,6041555874,1111495877,1891.82,6412.72
2023-06-02,2054352743,6673651725,286.09,9213.76
2023-02-22,1396540614,3338715730,251.78,9966.06
2023-10-05,1288303997,2976092807,74.14,915.41
2023-03-17,7751910128,5920569106,159.21,2294.16
2023-11-11,1008861066,5290749376,750.31,9472.65
2023-10-10,9352634039,1908169873,158.8,1398.73
2023-09-03,4661562891,5135858878,81.08,6010.37
2023-11-09,2976901269,8908587838,305.45,367.56
2023-10-27,9430296170,3372475969,-0.37,4137.53
2023-10-11,2341230241,4588043007,413.11,6940.46
2023-06-23,4950453652,7032354535,1129.1,3182.48
2023-05-19,7836684495,3611808474,100.86,8892.53
2023-02-02,4237717123,4180456963,180.69,5004.23
2023-01-18,3556530143,9292724298,208.3,7506.19
2024-01-01,8024648080,7272371991,188.95,1849.02
2023-06-04,6628104619,7827825384,135.61,4332.99
2023-02-16,1529943053,3382776341,46.84,4405.14
2023-01-04,8666108063,4405127597,341.24,8184.83
2023-02-18,7329440465,2358461503,68.05,9039.9
2023-09-22,7408366345,8077807389,373.09,4485.01
2023-11-07,2145863469,6240932099,202.52,5894.57
2023-09-02,1079948278,9044211277,151.31,4109.44
2023-01-17,3075746715,6203892117,198.53,4657.23
2023-05-10,5134252963,9749225643,228.18,9927.06
2023-03-16,5959515865,6664236500,419.79,1339.8
2023-06-03,3819736364,4859816657,991.46,2441.57
2023-08-10,4345401597,1823056088,254.05,6004.29
2023-06-18,4051387269,6580572805,440.48,4592.75
2023-01-29,4594183059,2072545277,441.95,9852.85
2023-03-28,8539637709,2613078821,128.95,709.87
2023-01-20,1703171857,2899342074,384.47,2885.54
2023-10-28,7836684495,6916040954,71.87,1346.09
2023-03-26,8646111342,9830950006,208.66,6840.32
2023-11-22,4905245731,4838050270,296.97,2764.94
2023-11-20,2837227128,9352048887,378.85,3903.05
2023-10-11,4424404902,7620975583,496.99,8952.53
2023-04-04,5853640549,4930935721,277.62,6955.39
2023-03-22,1712202241,6704460197,24.71,6625.14
2023-04-02,2828220653,2951988397,86.54,9070.37
2023-09-18,2837227128,4257316337,373.2,4011.02
2023-06-20,2682633258,2320077430,375.35,5623.93
2023-06-12,1606823814,9462157314,41.18,5097.01
2023-02-26,6397144101,1754387842,103.62,9820.15
2023-06-08,3522747123,8509306440,157.76,5386.39
2023-08-05,1798769275,9390548519,482.3,6790.18
2023-07-28,8304608723,8509306440,237.4,6416.01
2023-10-30,4051387269,9197411796,479.8,3714.91
2023-06-09,4661562891,2926121567,19.51,9655.68
2023-10-01,3673667462,4761080385,399.63,5472.67
2023-01-13,5598526674,2225794435,196.16,5926.87
2023-01-06,2555233206,4103747123,243.7,6832.98
2023-04-11,7178578538,6477185978,201.03,6597.13
2023-01-05,2682633258,6921340315,353.3,417.78
2023-05-14,9136098514,1400188830,265.2,4316.87
2023-07-23,6462330795,1111495877,131.9,7242.03
2023-03-14,7063064307,8829725777,24.8,6826.13
2023-07-25,3826325422,9594995598,94.06,5392.49
2023-02-18,1188502677,1535483808,191.58,9312.84
2023-12-22,9391881886,8384981854,434.45,1250.87
2023-04-10,8257903032,2225794435,206.78,9344.06
2023-06-14,9677841168,1006445472,268.49,5654.64
2023-10-27,7836684495,7058292406,8.77,7592.32
2023-09-14,1116183031,3524424249,177.15,9743.4
2023-01-17,2635360492,8155755793,378.83,6412.94
2023-02-13,1112415317,2672396355,283.47,1558.91
2023-06-23,5222101744,9749225643,330.1,4786.52
2023-10-20,2414333802,8408789601,347.21,8248.49
2023-12-12,1676626956,7678856749,2492.85,7994.26
2023-04-04,1770205776,3753548739,1994.73,2939.93
2023-09-30,9136098514,7926781770,275.72,2322.76
2023-02-10,1870757167,8743141919,405.98,5118.11
2023-11-15,1568070113,7153326673,125.22,4920.81
2023-10-27,6154337306,6350984240,100.94,6727.27
2023-01-04,2054217031,5763274349,242.29,4498.79
2023-07-17,2824317672,9281971202,277.86,9084.85
2023-01-12,5924421150,5271803575,355.0,4301.27
2023-08-02,1158621244,8486813889,442.71,5185.69
2023-10-22,8251635741,2873340386,336.42,3862.36
2023-04-29,7836684495,9594995598,83.26,3202.98
2023-09-06,9352634039,1603595012,150.01,8916.07
2023-12-04,3957950476,3705395940,288.74,3442.8
2023-06-16,7320521806,8798441230,260.05,4555.09
2023-10-22,5018014536,1111495877,48.51,9459.65
2023-12-31,9677841168,6477185978,267.31,5895.66
2023-11-13,1068377549,1908169873,29.36,8890.22
2023-12-17,8542881577,1889964549,183.11,4426.66
2023-09-20,6250485006,4695770511,522.65,7663.82
2023-02-19,4345401597,2821255081,298.27,5015.86
2023-08-17,5165694959,8212787135,230.4,8568.05
